replay,user,group,puzzle,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,Snapshots,CheckSolution,cube,pyramid,ramp,cylinder,cone,sphere,spatial_reasoning
Bird Fez~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,127.222051,0.0,4,2,6,3,1,7,0,1,1,1,0,1,0,1,2.9166666666666665
Pi Henge~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,77.29724,0.0,5,0,4,5,0,2,0,1,5,0,0,0,0,0,3.388888888888889
Pyramids are Strange~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,125.03375499999999,72.960352,5,12,0,2,1,5,2,1,0,5,0,0,0,0,3.0
45-Degree Rotations~1,2085341eede3ffb7e2ffc72bbf0ae02b,4fe25833f555e9903d2bb6bbeec3fbfb,45-Degree Rotations,47.323649,53.387395,5,18,0,0,0,1,1,1,0,0,4,0,0,1,3.25
Pi Henge~1,afa648f0959b8ff1a10ddb9c643aa172,4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,230.70871800000006,0.0,5,2,19,16,0,16,0,4,2,0,0,3,0,0,2.458333333333333
Pyramids are Strange~1,afa648f0959b8ff1a10ddb9c643aa172,4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,117.447731,0.0,4,10,4,11,0,1,1,2,0,4,0,0,0,0,2.5
Angled Silhouette~1,6f6b458eb58d511b0bc127cd67a81f84,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,24.435621,0.0,4,4,0,0,0,0,0,1,2,2,0,0,0,0,3.9166666666666665
Pi Henge~1,6f6b458eb58d511b0bc127cd67a81f84,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,48.88918999999999,0.0,3,0,5,5,0,2,0,1,3,0,0,0,0,0,3.388888888888889
45-Degree Rotations~1,6f6b458eb58d511b0bc127cd67a81f84,e6af7d42084352a39449e6d0a09b18cd,45-Degree Rotations,57.61245500000001,0.0,5,8,2,0,0,0,0,1,0,0,4,0,0,1,3.5
Pyramids are Strange~1,6f6b458eb58d511b0bc127cd67a81f84,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,93.14665399999998,0.0,4,6,8,1,0,1,0,3,0,4,0,0,0,0,3.0
Bird Fez~1,6f6b458eb58d511b0bc127cd67a81f84,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,61.67840200000001,0.0,3,2,6,5,0,1,0,1,1,1,0,0,0,1,3.458333333333333
Angled Silhouette~1,73002223a76a57543bc0d9e92c685d21,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,31.608949,0.0,4,4,0,0,0,0,0,1,2,2,0,0,0,0,3.875
Bird Fez~1,73002223a76a57543bc0d9e92c685d21,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,49.45041000000001,0.0,3,4,2,1,0,0,0,2,1,1,0,0,0,1,3.208333333333333
Angled Silhouette~1,2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,36.760238,0.0,3,0,1,3,0,0,0,1,1,2,0,0,0,0,3.6666666666666665
Pi Henge~1,2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,111.12147999999999,0.0,3,0,11,7,0,4,0,1,3,0,0,0,0,0,2.9444444444444446
Pyramids are Strange~1,2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,134.8738740000001,0.0,5,18,1,2,1,3,0,3,0,5,0,0,0,0,2.5
Pyramids are Strange~2,2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,101.00294500000001,0.0,4,10,0,1,0,3,0,2,0,4,0,0,0,0,3.25
Bird Fez~1,2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,104.66990699999997,52.230662,5,2,3,1,2,10,0,3,2,2,0,0,0,1,2.9166666666666665
Angled Silhouette~1,eb31edc705bc6a52f30c37c1622267cc,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,60.55749700000002,0.0,5,8,6,1,2,5,0,2,1,2,0,0,2,0,2.833333333333333
Pi Henge~1,eb31edc705bc6a52f30c37c1622267cc,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,188.57275100000004,0.0,3,0,18,9,0,0,0,1,3,0,0,0,0,0,3.4444444444444446
Pyramids are Strange~1,eb31edc705bc6a52f30c37c1622267cc,e6af7d42084352a39449e6d0a09b18cd,Pyramids are Strange,63.797703000000006,0.0,4,6,0,1,0,2,0,1,0,4,0,0,0,0,3.875
Bird Fez~1,eb31edc705bc6a52f30c37c1622267cc,e6af7d42084352a39449e6d0a09b18cd,Bird Fez,150.51811800000002,129.367795,4,2,16,2,1,4,0,2,1,0,0,1,1,1,2.9166666666666665
Angled Silhouette~3,3d992da5acb90d3c9b53b9684d648306,e6af7d42084352a39449e6d0a09b18cd,Angled Silhouette,32.109063000000006,0.0,3,4,1,1,0,0,0,1,1,2,0,0,0,0,4.0
Pi Henge~1,3d992da5acb90d3c9b53b9684d648306,e6af7d42084352a39449e6d0a09b18cd,Pi Henge,47.59492600000001,0.0,3,0,6,5,0,0,0,1,3,0,0,0,0,0,3.6666666666666665
