User,Replay,spatial_reasoning
00f86c5fc28e8d326cdae17ea97c7387,45-Degree Rotations~1,3.375
00f86c5fc28e8d326cdae17ea97c7387,Angled Silhouette~1,2.6666666666666665
00f86c5fc28e8d326cdae17ea97c7387,Bird Fez~2,3.5416666666666665
00f86c5fc28e8d326cdae17ea97c7387,Pi Henge~1,3.1666666666666665
00f86c5fc28e8d326cdae17ea97c7387,Pyramids are Strange~1,2.5
04efb31113020a35abc57f18b7c92b34,45-Degree Rotations~1,3.25
04efb31113020a35abc57f18b7c92b34,Angled Silhouette~2,3.875
04efb31113020a35abc57f18b7c92b34,Bird Fez~1,3.5416666666666665
04efb31113020a35abc57f18b7c92b34,Pi Henge~1,2.388888888888889
04efb31113020a35abc57f18b7c92b34,Pyramids are Strange~1,3.75
0d35fa2868a21199e36b159b49ae6aad,45-Degree Rotations~1,2.125
0d35fa2868a21199e36b159b49ae6aad,Angled Silhouette~1,2.0833333333333335
0d35fa2868a21199e36b159b49ae6aad,Bird Fez~1,3.6666666666666665
0d35fa2868a21199e36b159b49ae6aad,Pi Henge~1,3.5555555555555554
0d35fa2868a21199e36b159b49ae6aad,Pyramids are Strange~1,1.375
10b6d08eea990eacf342c323080e83f5,45-Degree Rotations~1,3.375
10b6d08eea990eacf342c323080e83f5,Angled Silhouette~1,3.875
10b6d08eea990eacf342c323080e83f5,Bird Fez~1,1.3333333333333335
10b6d08eea990eacf342c323080e83f5,Pi Henge~1,3.5
10b6d08eea990eacf342c323080e83f5,Pyramids are Strange~1,2.125
113d1b7d0977122f5962fa123325c015,45-Degree Rotations~1,2.125
113d1b7d0977122f5962fa123325c015,Angled Silhouette~1,2.1666666666666665
113d1b7d0977122f5962fa123325c015,Bird Fez~1,2.4583333333333335
113d1b7d0977122f5962fa123325c015,Pi Henge~1,3.6666666666666665
113d1b7d0977122f5962fa123325c015,Pyramids are Strange~2,3.375
1f32ee4bde190b6194c8d956ef958987,45-Degree Rotations~1,2.875
1f32ee4bde190b6194c8d956ef958987,Angled Silhouette~1,3.875
1f32ee4bde190b6194c8d956ef958987,Bird Fez~1,3.3333333333333335
1f32ee4bde190b6194c8d956ef958987,Pi Henge~1,3.1666666666666665
1f32ee4bde190b6194c8d956ef958987,Pyramids are Strange~1,2.625
2085341eede3ffb7e2ffc72bbf0ae02b,45-Degree Rotations~1,3.25
2085341eede3ffb7e2ffc72bbf0ae02b,Bird Fez~1,2.9166666666666665
2085341eede3ffb7e2ffc72bbf0ae02b,Pi Henge~1,3.388888888888889
2085341eede3ffb7e2ffc72bbf0ae02b,Pyramids are Strange~1,3.0
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Angled Silhouette~1,3.6666666666666665
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Bird Fez~1,2.9166666666666665
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pi Henge~1,2.9444444444444446
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pyramids are Strange~1,2.5
2f0ac5ad17c9aa0ab1a3a01e8fea4ea8,Pyramids are Strange~2,3.25
2fc80637fca670560429037eb31234b6,Angled Silhouette~1,2.4166666666666665
3d992da5acb90d3c9b53b9684d648306,Angled Silhouette~3,4.0
3d992da5acb90d3c9b53b9684d648306,Bird Fez~1,2.4583333333333335
3d992da5acb90d3c9b53b9684d648306,Pi Henge~1,3.6666666666666665
3d992da5acb90d3c9b53b9684d648306,Pyramids are Strange~2,2.125
5b376caf2913ef3a48a53e38cba2a2f0,Angled Silhouette~1,3.375
5b376caf2913ef3a48a53e38cba2a2f0,Pi Henge~1,3.5555555555555554
5b376caf2913ef3a48a53e38cba2a2f0,Pyramids are Strange~3,2.25
5e28d61160368358430cfe1efe123aa9,45-Degree Rotations~3,2.5
5e28d61160368358430cfe1efe123aa9,Angled Silhouette~2,4.0
5e28d61160368358430cfe1efe123aa9,Bird Fez~7,2.5833333333333335
5e28d61160368358430cfe1efe123aa9,Pi Henge~1,3.3333333333333335
5e28d61160368358430cfe1efe123aa9,Pyramids are Strange~1,2.5
6ee4b916ed4b2366f0c521b3379f7960,45-Degree Rotations~1,2.5
6ee4b916ed4b2366f0c521b3379f7960,Angled Silhouette~1,2.4583333333333335
6ee4b916ed4b2366f0c521b3379f7960,Bird Fez~1,2.8333333333333335
6ee4b916ed4b2366f0c521b3379f7960,Pi Henge~1,3.388888888888889
6ee4b916ed4b2366f0c521b3379f7960,Pyramids are Strange~1,1.75
6f6b458eb58d511b0bc127cd67a81f84,45-Degree Rotations~1,3.5
6f6b458eb58d511b0bc127cd67a81f84,Angled Silhouette~1,3.9166666666666665
6f6b458eb58d511b0bc127cd67a81f84,Bird Fez~1,3.4583333333333335
6f6b458eb58d511b0bc127cd67a81f84,Pi Henge~1,3.388888888888889
6f6b458eb58d511b0bc127cd67a81f84,Pyramids are Strange~1,3.0
73002223a76a57543bc0d9e92c685d21,Angled Silhouette~1,3.875
73002223a76a57543bc0d9e92c685d21,Bird Fez~1,3.2083333333333335
7a2c3ba5b630c18ff35177361c93141b,45-Degree Rotations~2,3.5
7a2c3ba5b630c18ff35177361c93141b,Angled Silhouette~1,2.75
7a2c3ba5b630c18ff35177361c93141b,Bird Fez~1,2.5833333333333335
7a2c3ba5b630c18ff35177361c93141b,Pyramids are Strange~1,3.625
7ad6a5644dc189d2dd6b366b70f9cca9,45-Degree Rotations~1,2.375
7ad6a5644dc189d2dd6b366b70f9cca9,Angled Silhouette~1,3.9166666666666665
7ad6a5644dc189d2dd6b366b70f9cca9,Bird Fez~1,3.375
7ad6a5644dc189d2dd6b366b70f9cca9,Pi Henge~1,2.3333333333333335
7ad6a5644dc189d2dd6b366b70f9cca9,Pyramids are Strange~1,3.375
92477c49111067683732d8dfc987d006,45-Degree Rotations~1,2.5
92477c49111067683732d8dfc987d006,Angled Silhouette~1,3.5
92477c49111067683732d8dfc987d006,Bird Fez~1,3.125
92477c49111067683732d8dfc987d006,Pi Henge~1,2.3333333333333335
92477c49111067683732d8dfc987d006,Pyramids are Strange~1,2.5
947329e4045fb60fd62c6ee739583545,Angled Silhouette~3,3.375
947329e4045fb60fd62c6ee739583545,Bird Fez~1,3.5416666666666665
947329e4045fb60fd62c6ee739583545,Pi Henge~2,3.0833333333333335
953ea80f89aa793f2d8a17d212646301,45-Degree Rotations~1,1.125
