replay,user,group,puzzle,ActiveTime,InactiveTime,CreateShape,RotateShape,MoveShape,ScaleShape,DeleteFigure,RotateView,Snapshots,CheckSolution,cube,pyramid,ramp,cylinder,cone,sphere
2. Separated Boxes~1,2d3db94690a19a62a0942fbd6ac30308,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,27.355294999999998,0.0,2,0,1,0,0,0,0,1,2,0,0,0,0,0
3. Rotate a Pyramid~2,2d3db94690a19a62a0942fbd6ac30308,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,170.76343800000006,0.0,1,9,0,0,0,31,0,5,0,1,0,0,0,0
4. Match Silhouettes~1,2d3db94690a19a62a0942fbd6ac30308,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,100.48931000000002,0.0,6,0,20,0,4,35,0,1,1,5,0,0,0,0
1. One Box~1,2d3db94690a19a62a0942fbd6ac30308,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,20.054877,0.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,bee2a34ccb9b04e94c012b32c0228791,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,164.84082400000003,212.83718,2,0,35,0,0,0,0,5,2,0,0,0,0,0
1. One Box~1,bee2a34ccb9b04e94c012b32c0228791,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,27.050007000000004,49.881827,1,0,7,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,48.360476999999996,0.0,2,0,1,0,0,0,0,2,2,0,0,0,0,0
6. Stretch a Ramp~2,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,74.190692,0.0,1,0,0,7,0,6,0,2,0,0,1,0,0,0
7. Max 2 Boxes~2,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,54.539214999999984,0.0,1,0,0,2,0,29,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,225.92097399999997,0.0,5,18,9,0,4,14,0,6,0,5,0,0,0,0
4. Match Silhouettes~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,30.015618999999997,0.0,2,0,1,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,6b0db803ea472a64d60982fc9820ec6d,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,65.99053699999999,0.0,1,0,9,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,24.951043000000002,0.0,2,0,3,0,0,0,0,1,2,0,0,0,0,0
6. Stretch a Ramp~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,126.82249,0.0,2,0,1,16,1,26,0,3,0,0,2,0,0,0
7. Max 2 Boxes~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,18.169277,0.0,1,0,0,2,0,0,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,78.58928300000001,0.0,2,2,6,0,1,0,0,3,0,2,0,0,0,0
8. Combine 2 Ramps~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,126.59964399999996,0.0,3,18,4,0,0,37,0,3,0,0,3,0,0,0
Square Cross-Sections~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,94.039179,0.0,3,8,4,0,0,20,0,1,0,1,1,1,0,0
4. Match Silhouettes~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,32.017009,0.0,2,0,5,0,0,0,0,1,1,1,0,0,0,0
1. One Box~1,a89dc0a90ec4abfdc92e621e3ca80748,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,26.763151,0.0,1,0,2,0,0,0,0,1,1,0,0,0,0,0
2. Separated Boxes~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,98.654479,0.0,2,0,11,0,0,2,0,3,2,0,0,0,0,0
6. Stretch a Ramp~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,136.35687399999998,0.0,1,0,6,58,0,10,6,1,0,0,1,0,0,0
7. Max 2 Boxes~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,32.023845,0.0,1,0,2,2,0,0,0,1,1,0,0,0,0,0
3. Rotate a Pyramid~1,516f1d9200914db303f76bbefbeff1ad,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,71.33746000000001,0.0,1,11,3,0,0,1,0,2,0,1,0,0,0,0
