puzzle,completedStudents
2. Separated Boxes,"{'4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~2', '4fe25833f555e9903d2bb6bbeec3fbfb~a7d70a79fa9f7d3dec47bac5541e53be~2', '4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~2', '4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~3', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~2', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~2', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~3', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~2', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~2', '4fe25833f555e9903d2bb6bbeec3fbfb~85e2dbc0501c15f84b17a1fd7364467d~2', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~2', '4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~2', '4fe25833f555e9903d2bb6bbeec3fbfb~3ea797888d868011497d6e0e56206f3b~2', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~2', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~2', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~2', '4fe25833f555e9903d2bb6bbeec3fbfb~781ddfc1403d3625fe99f9cb5986f096~3', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~11', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~2', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~3', '4fe25833f555e9903d2bb6bbeec3fbfb~bee2a34ccb9b04e94c012b32c0228791~2', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~2', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~2', '4fe25833f555e9903d2bb6bbeec3fbfb~ffb0d9f90251dac55dde43e4cae2c46c~2', '4fe25833f555e9903d2bb6bbeec3fbfb~96ddabca419f7153f2c0ed0cba63a9e4~2', '4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~2', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~2', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~10', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~2', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~2', '4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~2', '4fe25833f555e9903d2bb6bbeec3fbfb~e08bc4c6e82c2fce47308de23960f73c~2', '4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~2', '4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~2'}"
3. Rotate a Pyramid,"{'4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~3', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~3', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~3', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~3', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~3', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~12', '4fe25833f555e9903d2bb6bbeec3fbfb~96ddabca419f7153f2c0ed0cba63a9e4~3', '4fe25833f555e9903d2bb6bbeec3fbfb~e08bc4c6e82c2fce47308de23960f73c~3', '4fe25833f555e9903d2bb6bbeec3fbfb~3ea797888d868011497d6e0e56206f3b~3', '4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~4', '4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~3', '4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~3', '4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~5', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~3', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~4', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~3', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~3', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~3', '4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~3', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~3', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~4', '4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~3', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~3', '4fe25833f555e9903d2bb6bbeec3fbfb~85e2dbc0501c15f84b17a1fd7364467d~3', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~3', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~3', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~3', '4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~3'}"
Bear Market,set()
4. Match Silhouettes,"{'4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~4', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~4', '4fe25833f555e9903d2bb6bbeec3fbfb~96ddabca419f7153f2c0ed0cba63a9e4~6', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~4', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~4', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~4', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~4', '4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~4', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~4', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~4', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~4', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~4', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~5', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~4', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~4', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~5', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~13', '4fe25833f555e9903d2bb6bbeec3fbfb~3ea797888d868011497d6e0e56206f3b~4', '4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~4', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~8', '4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~5', '4fe25833f555e9903d2bb6bbeec3fbfb~e08bc4c6e82c2fce47308de23960f73c~4', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~4', '4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~8', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~4', '4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~6', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~4'}"
1. One Box,"{'4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~1', '4fe25833f555e9903d2bb6bbeec3fbfb~85e2dbc0501c15f84b17a1fd7364467d~1', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~1', '4fe25833f555e9903d2bb6bbeec3fbfb~2d3db94690a19a62a0942fbd6ac30308~1', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~1', '4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~1', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~1', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~1', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~1', '4fe25833f555e9903d2bb6bbeec3fbfb~781ddfc1403d3625fe99f9cb5986f096~2', '4fe25833f555e9903d2bb6bbeec3fbfb~3ea797888d868011497d6e0e56206f3b~1', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~1', '4fe25833f555e9903d2bb6bbeec3fbfb~24484165b531c64c3151df9e29945731~1', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~1', '4fe25833f555e9903d2bb6bbeec3fbfb~bee2a34ccb9b04e94c012b32c0228791~1', '4fe25833f555e9903d2bb6bbeec3fbfb~0760db831ec82e0c4b3349f6045d9669~2', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~1', '4fe25833f555e9903d2bb6bbeec3fbfb~e08bc4c6e82c2fce47308de23960f73c~1', '4fe25833f555e9903d2bb6bbeec3fbfb~ffb0d9f90251dac55dde43e4cae2c46c~1', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~1', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~1', '4fe25833f555e9903d2bb6bbeec3fbfb~a7d70a79fa9f7d3dec47bac5541e53be~1', '4fe25833f555e9903d2bb6bbeec3fbfb~96ddabca419f7153f2c0ed0cba63a9e4~1', '4fe25833f555e9903d2bb6bbeec3fbfb~bfc0042bbe42e56ce5a8d2d9b8c0f4e4~1', '4fe25833f555e9903d2bb6bbeec3fbfb~e3d9bb1dbe4394feac89c0974e04a53f~1', '4fe25833f555e9903d2bb6bbeec3fbfb~2a772f5859b0bf6156f07f1412f2043a~1', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~1', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~2', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~1', '4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~1', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~1', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~1', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~2'}"
5. Removing Objects,"{'4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~9', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~5', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~5', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~5', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~5', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~5', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~5', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~5', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~6', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~5', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~5', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~5', '4fe25833f555e9903d2bb6bbeec3fbfb~0b608ca6b3e7c2e5f31d7118cdc95a9b~9', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~7', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~5', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~14', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~5'}"
6. Stretch a Ramp,"{'4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~6', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~6', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~6', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~6', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~6', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~6', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~8', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~10', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~6', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~6', '4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~8', '4fe25833f555e9903d2bb6bbeec3fbfb~302f89f8db8438ebfaf8ab4fd1d267f2~6', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~7', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~6', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~6', '4fe25833f555e9903d2bb6bbeec3fbfb~85e2dbc0501c15f84b17a1fd7364467d~6', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~6', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~6', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~6'}"
7. Max 2 Boxes,"{'4fe25833f555e9903d2bb6bbeec3fbfb~6b0db803ea472a64d60982fc9820ec6d~9', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~7', '4fe25833f555e9903d2bb6bbeec3fbfb~0157bc278747755031338f18c5ba4233~7', '4fe25833f555e9903d2bb6bbeec3fbfb~d0eb9b379fb70519d83b457b6c85ec4d~8', '4fe25833f555e9903d2bb6bbeec3fbfb~12c016759e353d0bc14d1bccacba192c~7', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~9', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~7', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~7', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~14', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~7', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~7', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~7', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~7', '4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~7', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~7', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~7', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~7', '4fe25833f555e9903d2bb6bbeec3fbfb~85e2dbc0501c15f84b17a1fd7364467d~7'}"
8. Combine 2 Ramps,"{'4fe25833f555e9903d2bb6bbeec3fbfb~66e12afc561f043a0ff56910f2b166d0~8', '4fe25833f555e9903d2bb6bbeec3fbfb~afa648f0959b8ff1a10ddb9c643aa172~18', '4fe25833f555e9903d2bb6bbeec3fbfb~516f1d9200914db303f76bbefbeff1ad~8', '4fe25833f555e9903d2bb6bbeec3fbfb~a89dc0a90ec4abfdc92e621e3ca80748~8', '4fe25833f555e9903d2bb6bbeec3fbfb~b2531b7f78817a6d4acda4a109b7a431~8', '4fe25833f555e9903d2bb6bbeec3fbfb~a48c50f9ef3ef60c304e7e4ca5d775cb~8', '4fe25833f555e9903d2bb6bbeec3fbfb~12e1e72e84bf81d1bb70ceaaff147ee1~8', '4fe25833f555e9903d2bb6bbeec3fbfb~2085341eede3ffb7e2ffc72bbf0ae02b~8', '4fe25833f555e9903d2bb6bbeec3fbfb~1f29e9843acc97006c607d1d50465a1d~8', '4fe25833f555e9903d2bb6bbeec3fbfb~9ebecebccf7f8b60313c913a80f70f47~10', '4fe25833f555e9903d2bb6bbeec3fbfb~33619c0e26fd218fbe79c78b631b7843~8', '4fe25833f555e9903d2bb6bbeec3fbfb~9f5b213ac14a39e0506ff211a2ff2ffc~8', '4fe25833f555e9903d2bb6bbeec3fbfb~2b2396af4cbf91224f099e909c6068f7~8'}"
Zzz,set()
