puzzle,completedStudents
2. Separated Boxes,"{'EloiseauA~B Drizzy', 'EloiseauA~bruh.', 'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~green tea', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~Matthew M', 'EloiseauA~fluffyunicorn'}"
1. One Box,"{'EloiseauA~B Drizzy', 'EloiseauA~bruh.', 'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~green tea', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~Unie', 'EloiseauA~purple_someone', 'EloiseauA~Matthew M', 'EloiseauA~fluffyunicorn'}"
Pyramids are Strange,"{'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone'}"
4. Match Silhouettes,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~Unie', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
Pi Henge,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
Ramp Up and Can It,{'EloiseauA~MountainGoat'}
6. Stretch a Ramp,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
7. Max 2 Boxes,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
Object Limits,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat', 'EloiseauA~purple_someone', 'EloiseauA~BubbleBops'}"
Tall and Small,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat'}"
5. Removing Objects,"{'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
45-Degree Rotations,"{'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed'}"
Square Cross-Sections,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~immawalkmyfish'}"
Angled Silhouette,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat', 'EloiseauA~purple_panther'}"
Sugar Cones,"{'EloiseauA~purple_panther', 'EloiseauA~MountainGoat', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone'}"
9. Scaling Round Objects,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
Bird Fez,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone'}"
Stranger Shapes,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat'}"
Warm Up,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~MountainGoat', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone'}"
3. Rotate a Pyramid,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~Unie', 'EloiseauA~purple_someone', 'EloiseauA~fluffyunicorn'}"
8. Combine 2 Ramps,"{'EloiseauA~purple_panther', 'EloiseauA~immawalkmyfish', 'EloiseauA~BlueKelp', 'EloiseauA~MountainGoat', 'EloiseauA~BubbleBops', 'EloiseauA~Jasenia CD', 'EloiseauA~Thekasdkaed', 'EloiseauA~purple_someone'}"
Boxes Obscure Spheres,"{'EloiseauA~Thekasdkaed', 'EloiseauA~MountainGoat'}"
Unnecessary,{'EloiseauA~MountainGoat'}
More Than Meets Your Eye,{'EloiseauA~MountainGoat'}
Not Bird,{'EloiseauA~MountainGoat'}
Few Clues,{'EloiseauA~MountainGoat'}
Orange Dance,set()
Zzz,{'EloiseauA~MountainGoat'}
Bull Market,{'EloiseauA~MountainGoat'}
Bear Market,set()
