StudentID,Puzzle,AttemptOrder
"
" Etiquetado
2fc80637fca670560429037eb31234b6,Angled Silhouette,21
"
" Etiquetado
5e28d61160368358430cfe1efe123aa9,45-Degree Rotations,33
5e28d61160368358430cfe1efe123aa9,Angled Silhouette,35
5e28d61160368358430cfe1efe123aa9,Bird Fez,29
5e28d61160368358430cfe1efe123aa9,Pi Henge,22
5e28d61160368358430cfe1efe123aa9,Pyramids are Strange,30
"
" Etiquetado
ef0b43cdf2d6ac99ff1bf5c2284e932a,45-Degree Rotations,11
ef0b43cdf2d6ac99ff1bf5c2284e932a,Angled Silhouette,16
ef0b43cdf2d6ac99ff1bf5c2284e932a,Bird Fez,9
ef0b43cdf2d6ac99ff1bf5c2284e932a,Pi Henge,10
ef0b43cdf2d6ac99ff1bf5c2284e932a,Pyramids are Strange,12
"
" Etiquetado
f50c8d5d6414f0e64ef8c21973d0a6d6,45-Degree Rotations,14
f50c8d5d6414f0e64ef8c21973d0a6d6,Angled Silhouette,19
f50c8d5d6414f0e64ef8c21973d0a6d6,Bird Fez,12 (incompleta)
f50c8d5d6414f0e64ef8c21973d0a6d6,Pi Henge,13
f50c8d5d6414f0e64ef8c21973d0a6d6,Pyramids are Strange,15
"
" Etiquetado
04efb31113020a35abc57f18b7c92b34,45-Degree Rotations,14
04efb31113020a35abc57f18b7c92b34,Angled Silhouette,20
04efb31113020a35abc57f18b7c92b34,Bird Fez,12
04efb31113020a35abc57f18b7c92b34,Pi Henge,13
04efb31113020a35abc57f18b7c92b34,Pyramids are Strange,15
"
" etiquetado
e94bcd5830a6a2d1e9af610edfdc52dc,45-Degree Rotations,14
e94bcd5830a6a2d1e9af610edfdc52dc,Angled Silhouette,28
e94bcd5830a6a2d1e9af610edfdc52dc,Bird Fez,12
e94bcd5830a6a2d1e9af610edfdc52dc,Pi Henge,13
e94bcd5830a6a2d1e9af610edfdc52dc,Pyramids are Strange,16 (corrupted)
"

" Etiquetado
6ee4b916ed4b2366f0c521b3379f7960,45-Degree Rotations,13
6ee4b916ed4b2366f0c521b3379f7960,Angled Silhouette,18
6ee4b916ed4b2366f0c521b3379f7960,Bird Fez,11
6ee4b916ed4b2366f0c521b3379f7960,Pi Henge,12
6ee4b916ed4b2366f0c521b3379f7960,Pyramids are Strange,14
"
" Etiquetado
1f32ee4bde190b6194c8d956ef958987,45-Degree Rotations,15
1f32ee4bde190b6194c8d956ef958987,Angled Silhouette,21
1f32ee4bde190b6194c8d956ef958987,Bird Fez,13
1f32ee4bde190b6194c8d956ef958987,Pi Henge,14
1f32ee4bde190b6194c8d956ef958987,Pyramids are Strange,16
"
" Etiquetado
beecc47689704115072807cd992ddc7b,45-Degree Rotations,13
beecc47689704115072807cd992ddc7b,Angled Silhouette,20
beecc47689704115072807cd992ddc7b,Bird Fez,11
beecc47689704115072807cd992ddc7b,Pi Henge,12
beecc47689704115072807cd992ddc7b,Pyramids are Strange,15
"
" Etiquetado
92477c49111067683732d8dfc987d006,45-Degree Rotations,15
92477c49111067683732d8dfc987d006,Angled Silhouette,20
92477c49111067683732d8dfc987d006,Bird Fez,13
92477c49111067683732d8dfc987d006,Pi Henge,14
92477c49111067683732d8dfc987d006,Pyramids are Strange,16
"
" Etiquetado
be92bec7a507e83c33700633c0a59255,45-Degree Rotations,14 (incompleta)
be92bec7a507e83c33700633c0a59255,Angled Silhouette,20
