puzzle,completedStudents
5. Removing Objects,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
4. Match Silhouettes,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
3. Rotate a Pyramid,"{'VeraB~BeautyandBrains', 'VeraB~kvotushi', 'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~Smeeze-DXM', 'VeraB~B.Cheesy12', 'VeraB~22dp', 'VeraB~Chaos&Glitter', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito'}"
1. One Box,"{'VeraB~BeautyandBrains', 'VeraB~kvotushi', 'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~Smeeze-DXM', 'VeraB~B.Cheesy12', 'VeraB~22dp', 'VeraB~Chaos&Glitter', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito'}"
7. Max 2 Boxes,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
2. Separated Boxes,"{'VeraB~BeautyandBrains', 'VeraB~kvotushi', 'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~Smeeze-DXM', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
Pyramids are Strange,"{'VeraB~engineer217', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter'}"
Pi Henge,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~engineer217', 'VeraB~Chaos&Glitter'}"
Ramp Up and Can It,"{'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~Chaos&Glitter'}"
6. Stretch a Ramp,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
Object Limits,"{'VeraB~engineer217', 'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter'}"
Tall and Small,"{'VeraB~B.Cheesy12', 'VeraB~Wuduju', 'VeraB~Chaos&Glitter'}"
More Than Meets Your Eye,{'VeraB~Chaos&Glitter'}
45-Degree Rotations,"{'VeraB~engineer217', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter'}"
Square Cross-Sections,"{'VeraB~engineer217', 'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter', 'VeraB~Drito'}"
Angled Silhouette,"{'VeraB~engineer217', 'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter', 'VeraB~Morissa J.S.'}"
Sugar Cones,"{'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Chaos&Glitter'}"
9. Scaling Round Objects,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
Not Bird,{'VeraB~Chaos&Glitter'}
Bird Fez,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~engineer217', 'VeraB~Chaos&Glitter'}"
Zzz,"{'VeraB~B.Cheesy12', 'VeraB~Brackets'}"
Bear Market,set()
Warm Up,"{'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~engineer217', 'VeraB~Chaos&Glitter'}"
Bull Market,{'VeraB~B.Cheesy12'}
8. Combine 2 Ramps,"{'VeraB~BeautyandBrains', 'VeraB~Morissa J.S.', 'VeraB~Wuduju', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~engineer217', 'VeraB~Drito', 'VeraB~Chaos&Glitter'}"
Boxes Obscure Spheres,"{'VeraB~B.Cheesy12', 'VeraB~Chaos&Glitter'}"
Unnecessary,{'VeraB~engineer217'}
Stranger Shapes,"{'VeraB~engineer217', 'VeraB~B.Cheesy12', 'VeraB~Brackets', 'VeraB~Chaos&Glitter'}"
Few Clues,set()
Orange Dance,set()
