puzzle,completedStudents
Unnecessary,{'VeraC~bobatea444'}
Pyramids are Strange,"{'VeraC~mathwiz', 'VeraC~bobatea444', 'VeraC~Jin Mori'}"
4. Match Silhouettes,"{'VeraC~queenbee23', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
1. One Box,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~Dramadolphin16', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
Pi Henge,"{'VeraC~bobatea444', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~chopinsgf', 'VeraC~Jin Mori'}"
Ramp Up and Can It,{'VeraC~bobatea444'}
6. Stretch a Ramp,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
7. Max 2 Boxes,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
Object Limits,"{'VeraC~eddy123', 'VeraC~bobatea444', 'VeraC~mathwiz'}"
Tall and Small,{'VeraC~mathwiz'}
More Than Meets Your Eye,set()
5. Removing Objects,"{'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~Dramadolphin16', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
45-Degree Rotations,"{'VeraC~chopinsgf', 'VeraC~mathwiz', 'VeraC~bobatea444', 'VeraC~Jin Mori'}"
Square Cross-Sections,"{'VeraC~mathwiz', 'VeraC~bobatea444', 'VeraC~redgal77'}"
Angled Silhouette,"{'VeraC~eddy123', 'VeraC~bobatea444', 'VeraC~mathwiz'}"
Sugar Cones,"{'VeraC~eddy123', 'VeraC~bobatea444', 'VeraC~Jin Mori', 'VeraC~mathwiz'}"
9. Scaling Round Objects,"{'VeraC~queenbee23', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~Jin Mori'}"
2. Separated Boxes,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~Dramadolphin16', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori'}"
Not Bird,set()
Bird Fez,"{'VeraC~eddy123', 'VeraC~bobatea444', 'VeraC~Jin Mori', 'VeraC~mathwiz'}"
Few Clues,set()
Stranger Shapes,"{'VeraC~mathwiz', 'VeraC~bobatea444'}"
Zzz,"{'VeraC~mathwiz', 'VeraC~bobatea444'}"
Bull Market,set()
Warm Up,"{'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~chopinsgf', 'VeraC~Jin Mori'}"
Orange Dance,set()
Bear Market,set()
3. Rotate a Pyramid,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~Dramadolphin16', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~chopinsgf', 'VeraC~Jin Mori', 'VeraC~Hayleezy'}"
8. Combine 2 Ramps,"{'VeraC~queenbee23', 'VeraC~Mplayer1', 'VeraC~bobatea444', 'VeraC~redgal77', 'VeraC~Groot_22', 'VeraC~eddy123', 'VeraC~mathwiz', 'VeraC~C.thuggin', 'VeraC~Jin Mori'}"
Boxes Obscure Spheres,set()
