puzzle,completedStudents
5. Removing Objects,"{'VeraD~redbed~12', 'VeraD~f45467~5', 'VeraD~redbed~131', 'VeraD~Theaveragestudent~5', 'VeraD~redbed~27', 'VeraD~Water_Bottle~5'}"
4. Match Silhouettes,"{'VeraD~Theaveragestudent~4', 'VeraD~vRacer~4', 'VeraD~redbed~11', 'VeraD~kit153~7', 'VeraD~notkillua~4', 'VeraD~Water_Bottle~4', 'VeraD~f45467~4', 'VeraD~redbed~26'}"
3. Rotate a Pyramid,"{'VeraD~f45467~3', 'VeraD~redbed~10', 'VeraD~Water_Bottle~3', 'VeraD~Theaveragestudent~3', 'VeraD~vRacer~3', 'VeraD~redbed~25', 'VeraD~Treehouse~3', 'VeraD~notkillua~3', 'VeraD~kit153~2'}"
1. One Box,"{'VeraD~redbed~1', 'VeraD~Treehouse~1', 'VeraD~Theaveragestudent~1', 'VeraD~Water_Bottle~1', 'VeraD~redbed~2', 'VeraD~kit153~6', 'VeraD~notkillua~1', 'VeraD~f45467~1', 'VeraD~vRacer~1', 'VeraD~redbed~23'}"
8. Combine 2 Ramps,"{'VeraD~Water_Bottle~8', 'VeraD~redbed~15', 'VeraD~vRacer~8'}"
6. Stretch a Ramp,"{'VeraD~f45467~6', 'VeraD~Theaveragestudent~6', 'VeraD~Water_Bottle~6', 'VeraD~redbed~13'}"
7. Max 2 Boxes,"{'VeraD~Water_Bottle~10', 'VeraD~kit153~9', 'VeraD~redbed~14'}"
2. Separated Boxes,"{'VeraD~Water_Bottle~2', 'VeraD~kit153~1', 'VeraD~f45467~2', 'VeraD~Treehouse~2', 'VeraD~redbed~8', 'VeraD~vRacer~2', 'VeraD~notkillua~2', 'VeraD~redbed~24', 'VeraD~Theaveragestudent~2'}"
45-Degree Rotations,"{'VeraD~redbed~119', 'VeraD~redbed~20', 'VeraD~Water_Bottle~17'}"
Square Cross-Sections,{'VeraD~redbed~21'}
Pi Henge,"{'VeraD~redbed~121', 'VeraD~redbed~19', 'VeraD~Water_Bottle~16'}"
Sugar Cones,"{'VeraD~Treehouse~6', 'VeraD~redbed~50'}"
Stranger Shapes,set()
Unnecessary,set()
Pyramids are Strange,"{'VeraD~redbed~29', 'VeraD~Water_Bottle~18'}"
Ramp Up and Can It,{'VeraD~redbed~65'}
Object Limits,{'VeraD~redbed~46'}
Tall and Small,{'VeraD~redbed~73'}
More Than Meets Your Eye,{'VeraD~redbed~82'}
Angled Silhouette,{'VeraD~Water_Bottle~22'}
9. Scaling Round Objects,"{'VeraD~redbed~16', 'VeraD~redbed~132', 'VeraD~Water_Bottle~9'}"
Not Bird,set()
Bird Fez,"{'VeraD~Water_Bottle~15', 'VeraD~redbed~112', 'VeraD~redbed~18'}"
Few Clues,set()
Zzz,{'VeraD~redbed~34'}
Bull Market,{'VeraD~redbed~63'}
Warm Up,"{'VeraD~Water_Bottle~21', 'VeraD~redbed~32'}"
Orange Dance,set()
Bear Market,set()
Boxes Obscure Spheres,set()
